Zone,Time,Station,Temp
MTZ139,02:29:00+00:00,HBOM8,35
MTZ139,02:18:00+00:00,PMRM8,27.222
MTZ139,01:48:00+00:00,BRTM8,23.889
MTZ139,01:29:00+00:00,HBOM8,37.778
MTZ139,01:18:00+00:00,PMRM8,30
MTZ139,00:48:00+00:00,BRTM8,26.66702
MTZ139,00:29:00+00:00,HBOM8,38.889
MTZ139,00:18:00+00:00,PMRM8,31.111
MTZ139,00:00:00+00:00,CLCM8,Not given
MTZ139,23:48:00+00:00,BRTM8,27.222
MTZ139,23:29:00+00:00,HBOM8,39.444
MTZ139,23:18:00+00:00,PMRM8,31.66702
MTZ139,23:00:00+00:00,CLCM8,Not given
MTZ139,22:48:00+00:00,BRTM8,29.444
MTZ139,22:29:00+00:00,HBOM8,39.444
MTZ139,22:18:00+00:00,PMRM8,33.889
MTZ139,22:00:00+00:00,CLCM8,Not given
MTZ139,21:48:00+00:00,BRTM8,28.889
MTZ139,21:29:00+00:00,HBOM8,39.444
MTZ139,21:18:00+00:00,PMRM8,33.889
MTZ139,20:48:00+00:00,BRTM8,31.111
MTZ139,20:29:00+00:00,HBOM8,38.889
MTZ139,20:18:00+00:00,PMRM8,33.333
MTZ139,20:00:00+00:00,CLCM8,Not given
MTZ139,19:48:00+00:00,BRTM8,29.444
MTZ139,19:29:00+00:00,HBOM8,37.778
MTZ139,19:18:00+00:00,PMRM8,32.778
MTZ139,18:48:00+00:00,BRTM8,28.333
MTZ139,18:29:00+00:00,HBOM8,35.556
MTZ139,18:18:00+00:00,PMRM8,31.111
MTZ139,18:00:00+00:00,CLCM8,Not given
MTZ139,17:48:00+00:00,BRTM8,26.66702
MTZ139,17:29:00+00:00,HBOM8,34.444
